rank,seed_name,link,torrent_name,price,reviews,life,size,seeders,downloaders,finished_num,updowner
79,"[欧美][致命女人,女人杀人为哪般][Why.Women.Kill.S01.720p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS][S01][MKV]",https://bt.byr.cn/download.php?id=291340,[BYRBT].Why.Women.Kill.S01.720p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS.torrent,2,3,26天19时,14.43GB,107,10,556,发布者匿名
80,"[罗小黑战记][The.Legend.of.Hei.2019.WEB-DL.4K.H265.DDP5.1-PTerWEB][动作,动画,奇幻][华语]",https://bt.byr.cn/download.php?id=291334,[BYRBT].罗小黑战记.The.Legend.of.Hei.2019.WEB-DL.4K.H265.DDP5.1-PTerWEB.mp4.torrent,2,0,26天21时,4.20GB,185,0,971,inory0
81,[连载][玄机科技][斗罗大陆][Douro Mainland][74][1080p][WEB][MP4][2018.01][国产],https://bt.byr.cn/download.php?id=291327,[BYRBT].Douro.Mainland.E74.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,2,0,27天2时,540.50MB,81,0,734,发布者匿名
82,[2019-10-18][大陆][演员请就位][Actors.Being.In.Position.2019.E02.1080p.WEB-DL.H264.AAC-TJUPT][国语][无需..,https://bt.byr.cn/download.php?id=291315,[BYRBT].Actors.Being.In.Position.2019.Complete.1080p.WEB-DL.H264.AAC-TJUPT.torrent,2,0,27天17时,1.40GB,73,0,468,chenhao
83,"[期刊书籍][贫穷的本质][Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty][EPUB,P..",https://bt.byr.cn/download.php?id=291314,[BYRBT].贫穷的本质中英文版.torrent,2,2,27天17时,33.61MB,94,5,320,2015212314
84,"[全职高手之巅峰荣耀][The.King's.Avatar.For.the.Glory.2019.WEB-DL.1080p.H265.AAC-DanNi][剧情,动画][中国大陆]",https://bt.byr.cn/download.php?id=291290,[BYRBT].The.King's.Avatar.For.the.Glory.2019.WEB-DL.1080p.H265.AAC-DanNi.mp4.torrent,2,2,28天4时,2.98GB,155,0,889,发布者匿名
85,[大陆][天龙八部][Heaven.Dragon.the.Eighth.Episode.2003.1080p.WEB-DL.DD2.0.H264-NOGRP][全40集][MKV],https://bt.byr.cn/download.php?id=291288,[BYRBT].Heaven.Dragon.the.Eighth.Episode.2003.1080p.WEB-DL.DD2.0.H264-NOGRP.torrent,3,6,28天4时,121.74GB,44,2,240,发布者匿名
86,[连载][玄机科技][天行九歌][Tian.Xing.Jiu.Ge][87][1080p][WEB][MP4][2016-03-10][国产],https://bt.byr.cn/download.php?id=291287,[BYRBT].Tian.Xing.Jiu.Ge.E87.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,2,0,28天4时,439.32MB,91,0,624,发布者匿名
87,"[欧美][致命女人,女人杀人为哪般][Why.Women.Kill.S01.1080p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS][S01][MKV]",https://bt.byr.cn/download.php?id=291284,[BYRBT].Why.Women.Kill.S01.1080p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS.torrent,4,1,28天5时,29.62GB,365,19,1526,fwy15
88,[大陆][光荣时代][The.Glorious.Era.2019.E01-E18.WEB-DL.1080p.H265.AAC-DanNi][E01-E18][MP4],https://bt.byr.cn/download.php?id=291278,[BYRBT].The.Glorious.Era.2019.Complete.WEB-DL.1080p.H265.AAC-DanNi.torrent,2,0,28天14时,26.08GB,58,3,258,发布者匿名
89,[期刊书籍][图灵社区程序设计丛书合集][PDF],https://bt.byr.cn/download.php?id=291221,[BYRBT].图灵程序设计丛书.torrent,5,5,29天4时,3.32GB,166,4,507,CarlZhang
90,"[罗小黑战记][The.Legend.of.Hei.2019.1080p.WEB-DL.H264.AAC-NM][动作,动画,奇幻][华语]",https://bt.byr.cn/download.php?id=291209,[BYRBT].The.Legend.of.Hei.2019.1080p.WEB-DL.H264.AAC-NM.mp4.torrent,2,14,29天16时,3.64GB,675,0,3139,发布者匿名
91,[欧美][柏林亚历山大广场][Berlin.Alexanderplatz.(1980).720p.BluRay.AAC1.0.x264-DON][全14集][MKV],https://bt.byr.cn/download.php?id=291180,[BYRBT].Berlin.Alexanderplatz.(1980).720p.BluRay.AAC1.0.x264-DON.torrent,1,0,1月0天,83.02GB,20,0,192,NORMALX
92,"[我的父亲，我的儿子][Babam.ve.Oglum.2005.1080p.AMZN.WEB-DL.DDP5.1.H.264-KAIZEN][剧情,家庭][土耳其]",https://bt.byr.cn/download.php?id=291166,[BYRBT].Babam.ve.Oglum.2005.1080p.AMZN.WEB-DL.DDP5.1.H.264-KAIZEN.mkv.torrent,4,0,1月0天,8.47GB,58,0,275,发布者匿名
93,"[雁南飞,鹤之舞,仙鹤飞翔][The.Cranes.Are.Flying.1957.720p.BluRay.AAC1.0.x264-Dariush][剧情,爱情,战争][苏联]",https://bt.byr.cn/download.php?id=291114,[BYRBT].The.Cranes.Are.Flying.1957.720p.BluRay.AAC1.0.x264-Dariush.mkv.torrent,2,1,1月1天,10.08GB,56,0,256,发布者匿名
94,"[欧美][切尔诺贝利,调查切尔诺贝利][Chernobyl.2019.720p.BluRay.DD5.1.x264-DON][S01][MKV]",https://bt.byr.cn/download.php?id=291078,[BYRBT].Chernobyl.2019.720p.BluRay.DD5.1.x264-DON.torrent,1,9,1月1天,17.59GB,288,2,1373,发布者匿名
95,[PC][Untitled Goose Game][无题大鹅模拟器][其他][House House][官方简体][压缩包],https://bt.byr.cn/download.php?id=291068,[BYRBT].UntitledGooseGame_chs.rar.torrent,2,7,1月2天,296.11MB,112,0,545,ZCYTHU
96,[欧美][球手们][Ballers.S05.720p.AMZN.WEB-DL.DDP5.1.H.264-NTb][S05][MKV],https://bt.byr.cn/download.php?id=291064,[BYRBT].Ballers.S05.720p.AMZN.WEB-DL.DDP5.1.H.264-NTb.torrent,2,0,1月2天,8.02GB,27,2,176,发布者匿名
97,[2019-10-11][大陆][演员请就位][Actors.Being.In.Position.2019.E01.1080p.WEB-DL.H264.AAC-TJUPT][国语][无需..,https://bt.byr.cn/download.php?id=291022,[BYRBT].Actors.Being.In.Position.2019.Complete.1080p.WEB-DL.H264.AAC-TJUPT.torrent,2,0,1月3天,2.12GB,59,0,386,chenhao
98,[连载][玄机科技][斗罗大陆][Douro Mainland][73][1080p][WEB][MP4][2018.01][国产],https://bt.byr.cn/download.php?id=290976,[BYRBT].Douro.Mainland.E73.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,2,0,1月4天,539.15MB,71,0,538,发布者匿名
99,[连载][玄机科技][斗罗大陆][Douro Mainland][73][1080p][WEB][MP4][2018.01][国产],https://bt.byr.cn/download.php?id=290975,[BYRBT].Douro.Mainland.E73.1080p.WEB-DL.H264.AAC-XJCTV.mp4.torrent,2,0,1月4天,471.44MB,20,0,295,发布者匿名
100,[合集][NHK][实境之旅][Virtual Trip][全11集][1080i][Blu-ray][M2TS][Anonymous][自然],https://bt.byr.cn/download.php?id=290964,[BYRBT].Virtual Trip.torrent,3,9,1月4天,222.48GB,24,3,168,发布者匿名
