rank,seed_name,link,torrent_name,price,reviews,life,size,seeders,downloaders,finished_num,updowner
20,"[魔发奇缘,缠结,莴苣公主][Tangled.2010.720p.BluRay.x264-CtrlHD][喜剧,动画,冒险][美国]",https://bt.byr.cn/download.php?id=292657,[BYRBT].Tangled.2010.720p.BluRay.x264-CtrlHD.mkv.torrent,4,3,5天12时,4.37GB,98,0,260,jipeng
21,[2019-11-09][大陆][奇葩说 第六季][I.Can.I.BB.2019.E04.WEB-DL.1080P.H264.AAC-kfbyhyq][国语][中文字幕],https://bt.byr.cn/download.php?id=292634,[BYRBT].I.Can.I.BB.2019.E04.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,2,1,5天16时,1.80GB,323,1,981,kfbyhyq
22,[日韩][民王][Wise.and.Foolish.S01.1080p.NF.WEB-DL.DDP2.0.x264-TJUPT][全8集][MKV],https://bt.byr.cn/download.php?id=292630,[BYRBT].Wise.and.Foolish.S01.1080p.NF.WEB-DL.DDP2.0.x264-TJUPT.torrent,2,0,5天17时,18.67GB,79,4,204,发布者匿名
23,[欧美][绿鸡蛋和绿火腿][Green.Eggs.and.Ham.S01.1080p.NF.WEB-DL.DDP5.1.x264-TJUPT][S01][MKV],https://bt.byr.cn/download.php?id=292629,[BYRBT].Green.Eggs.and.Ham.S01.1080p.NF.WEB-DL.DDP5.1.x264-TJUPT.torrent,2,1,5天18时,21.06GB,102,1,242,发布者匿名
24,[欧美][小谢尔顿 第二季][Young.Sheldon.S02.720p.BluRay.DD5.1.x264-DON][S02][MKV],https://bt.byr.cn/download.php?id=292616,[BYRBT].Young.Sheldon.S02.720p.BluRay.DD5.1.x264-DON.torrent,2,1,5天21时,16.80GB,100,3,279,发布者匿名
25,[学习教程][习近平新时代中国特色社会主义思想三十讲课件][PPT][2018.11.23],https://bt.byr.cn/download.php?id=292604,[BYRBT].习近平新时代中国特色社会主义思想三十讲课件.torrent,2,8,6天3时,5.17GB,120,0,261,qxzzxw
26,[连载][玄机科技][斗罗大陆][Douro Mainland][77][1080p][WEB][MP4][2018.01][国产],https://bt.byr.cn/download.php?id=292596,[BYRBT].Douro.Mainland.E77.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,2,0,6天5时,541.46MB,157,0,684,发布者匿名
27,[2019-11-08][大陆][明星大侦探 第五季][Who's.the.Murderer.2019.S05E01.1080p.WEB-DL.H264.AAC-TJUPT][国语][中..,https://bt.byr.cn/download.php?id=292511,[BYRBT].Who's.the.Murderer.2019.S05.Complete.1080p.WEB-DL.H264.AAC-TJUPT.torrent,2,0,7天1时,1.92GB,361,11,1204,XDyxw
28,[2019-11-8][大陆][明星大侦探][Who's.the.Murderer.S05E01.2019.WEB-DL.1080p.H264.AAC][国语][中文字幕],https://bt.byr.cn/download.php?id=292509,[BYRBT].Who's.the.Murderer.S05E01.2019.WEB-DL.1080p.H264.AAC.mp4.torrent,2,0,7天1时,1.05GB,82,1,301,lovetou1
29,[连载][玄机科技][天行九歌][Tian.Xing.Jiu.Ge][90][1080p][WEB][MP4][2016-03-10][国产],https://bt.byr.cn/download.php?id=292502,[BYRBT].Tian.Xing.Jiu.Ge.E90.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,2,3,7天4时,548.38MB,147,0,550,发布者匿名
