rank,seed_name,torrent_name,size,price,score
25,[学习教程][习近平新时代中国特色社会主义思想三十讲课件][PPT][2018.11.23],[BYRBT].习近平新时代中国特色社会主义思想三十讲课件.torrent,5.17GB,2,95.46987346603089
26,[连载][玄机科技][斗罗大陆][Douro Mainland][77][1080p][WEB][MP4][2018.01][国产],[BYRBT].Douro.Mainland.E77.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,541.46MB,2,95.69318911559382
27,[2019-11-08][大陆][明星大侦探 第五季][Who's.the.Murderer.2019.S05E01.1080p.WEB-DL.H264.AAC-TJUPT][国语][中..,[BYRBT].Who's.the.Murderer.2019.S05.Complete.1080p.WEB-DL.H264.AAC-TJUPT.torrent,1.92GB,2,92.13740188168116
28,[2019-11-8][大陆][明星大侦探][Who's.the.Murderer.S05E01.2019.WEB-DL.1080p.H264.AAC][国语][中文字幕],[BYRBT].Who's.the.Murderer.S05E01.2019.WEB-DL.1080p.H264.AAC.mp4.torrent,1.05GB,2,94.56946011241173
29,[连载][玄机科技][天行九歌][Tian.Xing.Jiu.Ge][90][1080p][WEB][MP4][2016-03-10][国产],[BYRBT].Tian.Xing.Jiu.Ge.E90.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,548.38MB,2,95.60709222760754
30,[2019-11-07][大陆][奇葩说 第六季][I.Can.I.BB.2019.E03.WEB-DL.1080P.H264.AAC-kfbyhyq][国语][中文字幕],[BYRBT].I.Can.I.BB.2019.E03.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,1.69GB,2,96.7145599068017
31,[日韩][X医生：外科医生大门未知子][Doctor.X.S01.1080p.NF.WEB-DL.DDP2.0.x264-TJUPT][S01][MP4],[BYRBT].Doctor.X.S01.1080p.NF.WEB-DL.DDP2.0.x264-TJUPT.torrent,12.88GB,2,93.54522608762258
32,[欧美][小谢尔顿 第一季][Young.Sheldon.S01.720p.BluRay.DD5.1.x264-DON][S01][MKV],[BYRBT].Young.Sheldon.S01.720p.BluRay.DD5.1.x264-DON.torrent,14.54GB,2,94.06423801414941
33,[期刊书籍][花花公子(斯洛文尼亚版)2018年合集][Playboy(Slovenija) 2018 collection][pdf][2018],[BYRBT].PB 2018.torrent,145.22MB,2,95.3826752307029
34,[合集][历史频道][宇宙][The Universe][S01][1080p][Blu-ray][M2TS][白自在][科学],[BYRBT].宇宙系列第1季.torrent,121.80GB,3,96.30132454752979
